channel_name,title,views,upload_date,duration,url
MrBeast,"Anything You Can Carry, I'll Pay For Challenge",93M views,6 years ago,,https://www.youtube.com/watch?v=tYHTVjfShOA
MrBeast,Homeless Man Buys A Lamborghini,200M views,6 years ago,,https://www.youtube.com/watch?v=JTQcIR2ZxU4
MrBeast,Playing Battleship With Real Ships,38M views,6 years ago,,https://www.youtube.com/watch?v=xpNeg0hPZIs
MrBeast,"Donating $100,000 To Shroud In Real Life",32M views,6 years ago,,https://www.youtube.com/watch?v=9yrdFAJUSaU
MrBeast,"Last To Leave The Tesla, Keeps It Challenge",121M views,6 years ago,,https://www.youtube.com/watch?v=i2O6GMpNWGo
MrBeast,"Donating $100,000 To Streamers With 0 Viewers",109M views,6 years ago,,https://www.youtube.com/watch?v=Y6jC6VaO3j0
MrBeast,Surviving 24 Hours Straight In A Desert,185M views,6 years ago,,https://www.youtube.com/watch?v=Ooke4YZv8Ts&pp=0gcJCQMKAYcqIYzv
MrBeast,"$200,000 Youtuber Battle Royale",56M views,6 years ago,,https://www.youtube.com/watch?v=ZV7rU6lnAKQ
MrBeast,Surprising Strangers With 100 Zombies - Experiment,61M views,6 years ago,,https://www.youtube.com/watch?v=iUzi5JmJNWc
MrBeast,I Gave A Homeless Man A Home,87M views,6 years ago,,https://www.youtube.com/watch?v=9cCpZl8euLI&pp=0gcJCQMKAYcqIYzv
MrBeast,Standing Still For 24 Hours Straight - Statue Challenge,125M views,6 years ago,,https://www.youtube.com/watch?v=I046_n20d3s
MrBeast,Giant Monopoly Game With Real Money,135M views,6 years ago,,https://www.youtube.com/watch?v=2nd73lyvq4w
MrBeast,I Spent 24 Hours Straight In Insane Asylum,123M views,6 years ago,,https://www.youtube.com/watch?v=nuM0Z4a7kMs
MrBeast,I Advertised Pewdiepie At The Super Bowl,45M views,6 years ago,,https://www.youtube.com/watch?v=qPBtTPJHS0Q
MrBeast,"Pass All 12 Grades, Win $10,000",232M views,6 years ago,,https://www.youtube.com/watch?v=A-vX1AGBGsc
MrBeast,I Opened The World’s Cheapest Store,41M views,6 years ago,,https://www.youtube.com/watch?v=IiW2smvEcBM
MrBeast,I Put 10 Million Legos in Friend's House,117M views,6 years ago,,https://www.youtube.com/watch?v=q6Qw8mUVTrE
MrBeast,Make This Video The Most Liked Video On Youtube,155M views,6 years ago,,https://www.youtube.com/watch?v=dBxOYE2j55U
MrBeast,"20,000 Magnets Vs A Car",34M views,6 years ago,,https://www.youtube.com/watch?v=984NGLLYDUg
MrBeast,"Eating A $10,000 Golden Steak (24k Gold)",161M views,6 years ago,,https://www.youtube.com/watch?v=7zi0bi-RDj4&pp=0gcJCQMKAYcqIYzv
MrBeast,Last To Take Hand Off House Keeps It!,101M views,6 years ago,,https://www.youtube.com/watch?v=XaxhLbxZ13k
MrBeast,"I Gave Him One Hour To Spend $100,000!",83M views,6 years ago,,https://www.youtube.com/watch?v=L8nh1wuXTbI&pp=0gcJCQMKAYcqIYzv
